"judul_berita","tanggal_publikasi","jam_publikasi","kategori"
"Satgas Penanggulangan Banjir Jaksel Siagakan 7.812 Personel","2020-01-09","15:42","Fokus"
"20 Satgas SDA Dikerahkan Perbaiki Turap Longsor di Kali Sunter","2020-01-09","15:32","Jakarta Hari Ini"
"Dinas KPKP Monev Pangan Bersubsidi","2020-01-09","15:17","Lintas Kota"
"Sekda Tinjau Kondisi Hilir Sungai di Muara Angke ","2020-01-09","15:03","Banjir"
"Legislator dari Tujuh Daerah Kunker ke DPRD DKI Jakarta","2020-01-09","14:46","Legislatif"
"MRT Jakarta Sediakan Pin Khusus untuk Penumpang Prioritas ","2020-01-09","14:22","BUMD"
"550 Petugas Gabungan Bersihkan Sampah di Semanan","2020-01-09","14:03","Kesra"
"Wakil Ketua DPRD Dukung Dilakukannya Rekayasa Cuaca","2020-01-09","13:55","Legislatif"
"Warga Pulau Tidung Dibagikan Bibit Tanaman Gratis","2020-01-09","13:30","Kesra"
"RPTRA Widya Bahari Dipercantik","2020-01-09","13:18","Lintas Kota"
"Bapomi Apresiasi Pemprov DKI Sukseskan Pomnas XVI","2020-01-09","13:05","Olahraga"
"DWP DKI Jakarta Salurkan Bantuan untuk Warga Terdampak Banjir di Cililitan","2020-01-09","11:49","Pemberdayaan Perempuan"
"Warga Diajak Tetap Jaga Perilaku Hidup Sehat","2020-01-09","11:42","Kesehatan"
"Perbaikan Jembatan Kali Cakung Lama Ditarget Rampung Pekan Ini","2020-01-09","11:05","Banjir"
"82 Personel PPSU Bersihkan Sampah di Pulogadung","2020-01-09","09:33","Jakarta Hari Ini"
"Jakarta Diprediksi Hujan Mulai Pagi Hari","2020-01-09","09:02","Jakarta Hari Ini"
"600 Petugas PPSU Bersihkan Lumpur dan Sampah di RW 01 Pengadegan","2020-01-09","08:04","Jakarta Hari Ini"
"Kolong Flyover Cipinang Ditanami Sayur Mayur","2020-01-08","21:37","Lintas Kota"
"Antisipasi Cuaca Ekstrem, BPBD Ajak Warga Jaga Kondisi Saluran Air","2020-01-08","21:24","Fokus"
"Biro Tapem DKI Gelar Pembekalan Penanganan Bencana","2020-01-08","21:02","Fokus"
"Puskesmas Palmerah Layani 82 Warga Terdampak Banjir","2020-01-08","20:07","Kesehatan"
"Misan Samsuri Ingin Pimpinan Tinggi Pratama Terlantik Tunjukkan Kinerja Terbaik","2020-01-08","19:51","Legislatif"
"Pelayanan Pengungsi di Kelurahan Pengadegan Dapat Apresiasi Warga","2020-01-08","19:45","Banjir"
"Sudin Dukcapil Jaksel Terima 770 Pengajuan Dokumen Adminduk Korban Banjir","2020-01-08","19:17","Jakarta Hari Ini"
"Cucu Ahmad Kurnia Siap Majukan Sektor Parekraf di Jakarta","2020-01-08","18:38","Wisata & Kuliner"
"Anies Kukuhkan Kepala Kantor Regional V BKN dan Jabatan Pimpinan Tinggi Pratama Pemprov DKI","2020-01-08","18:35","Pemerintahan"
"Wakil Wali Kota Jakbar Monitoring Pengangkutan Sampah Sisa Banjir","2020-01-08","18:30","Lintas Kota"
"Melihat Geliat Pelukis Jalanan di Kawasan Kota Tua","2020-01-08","18:26","Seni & Budaya"
"Pemkab Gelar Rakor Percepatan Kemudahan Berinvestasi","2020-01-08","18:09","Ekonomi"
"1.000 Karung Pasir Disiapkan Antisipasi Rob di Penjaringan","2020-01-08","18:00","Banjir"
"Warga Terdampak Banjir di Pejagalan Diberikan Layanan Adminduk","2020-01-08","17:33","Banjir"
"Satpol PP Pulogadung Dirikan Posko Siaga Bencana","2020-01-08","16:39","Jakarta Hari Ini"
"1.092 Warga Pengadegan Telah Tinggalkan Pengungsian","2020-01-08","16:26","Jakarta Hari Ini"
"Petugas Tangani Turap Kali Sunter yang Longsor di Jl Kayu Mas Utara Baru","2020-01-08","15:23","Jakarta Hari Ini"
"Kelurahan Pulau Untung Jawa  Bangun Posko Tanggap Bencana","2020-01-08","15:05","Fokus"
"Nelayan Diimbau Waspadai Gelombang Tinggi","2020-01-08","14:49","Jakarta Hari Ini"
"Siapkan Stok Beras, Food Station Tanam Padi Bersama Petani Indramayu ","2020-01-08","14:29","BUMD"
"Antisipasi Rob, Sudin SDA Jakut Siagakan Pompa Mobile","2020-01-08","14:06","Banjir"
"Sudinhub Jaksel Alihkan Tujuh Trayek Angkutan Umum ","2020-01-08","13:54","Transportasi"
"Warga Antusias Datangi KHK Gratis di Kantor Dinas KPKP","2020-01-08","13:45","Kesehatan"
"Genangan di Permukiman Warga Cengkareng Timur Sudah Surut","2020-01-08","13:34","Banjir"
"Food Station Pastikan Stok Beras Aman ","2020-01-08","12:56","BUMD"
"Ancol Siapkan Langkah Antisipasi Rob ","2020-01-08","12:45","BUMD"
"Kelurahan Pengadegan Masih Operasikan Dapur Umum","2020-01-08","11:49","Kesra"
"Dinkes Intensifkan Penyemprotan Disinfektan di Lokasi Terdampak Banjir","2020-01-08","11:18","Kesehatan"
"Perumda Pasar Jaya Akan Bangun 20 Lokasi Etalase Kuliner ","2020-01-08","10:59","BUMD"
"Jakarta Diprediksi Hujan Hari Ini","2020-01-08","10:06","Jakarta Hari Ini"
"Turap Longsor di Kali Cakung Mulai Diperbaiki","2020-01-08","09:54","Jakarta Hari Ini"
"Sudin PE Lakukan Perawatan Gardu Listrik di Pulau Pari","2020-01-08","09:48","Jakarta Hari Ini"
"Dinas KPKP Distribusikan Pangan Bersubsidi Tahun 2020","2020-01-07","22:20","Kesra"
"PMI Jaksel Suplai 5.000 Liter Air Bersih Bagi Pengungsi Banjir ","2020-01-07","22:17","Kesra"
"Ratusan Petugas Gabungan Bersihkan Sampah di Kedoya","2020-01-07","21:33","Lintas Kota"
"Satgas SDA Jaktim Perbaiki Tanggul di Kelurahan Dukuh","2020-01-07","20:22","Jakarta Hari Ini"
"Ada Gelar Produk UKM di Bazar Balai Kota","2020-01-07","20:19","Ekonomi"
"Anggota DPRD DKI Jakarta Tinjau Lokasi Banjir di Semanan ","2020-01-07","20:12","Legislatif"
"Personel Satpol PP Masih Dikerahkan Rehabilitasi Pascabanjir","2020-01-07","20:06","Lintas Kota"
"Wakil Bupati Pimpin Penataan Kawasan Pulau Karya","2020-01-07","19:56","Lintas Kota"
"350 Petugas Gabungan Kerja Bakti di Pengadegan","2020-01-07","19:44","Lintas Kota"
"Sekda Tinjau Posko Pengungsi Banjir di GOR Pancoran","2020-01-07","18:56","Pemerintahan"
"Pohon Tumbang di Jl Raya Bogor Dievakuasi","2020-01-07","16:55","Jakarta Hari Ini"
"Satpol PP Dikerahkan Bersihkan Sampah di SMAN 62 Jakarta","2020-01-07","16:35","Lintas Kota"
" Hadiri RTM Penanganan Banjir, Anies Laporkan Kondisi Terkini Posko Pengungsian","2020-01-07","16:31","Fokus"
"OPD Bidang Pemerintahan Diminta Optimalkan Serapan Anggaran","2020-01-07","16:17","Legislatif"
"PAL Jaya Berikan Layanan Penyedotan Tangki Septik Gratis Bagi Warga Terdampak Banjir ","2020-01-07","13:08","BUMD"
"Pemkab - Perumda Pasar Jaya Bahas Penambahan Lokasi JakGrosir ","2020-01-07","12:29","Ekonomi"
"Dinas Dukcapil Cetak 1.364 Dokumen Adminduk Pengganti Warga Terdampak Banjir","2020-01-07","12:18","Kesra"
"Wali Kota Jaktim Pimpin Kerja Bakti di Kramat Jati","2020-01-07","12:14","Jakarta Hari Ini"
"RPTRA Tidung Ceria Panen Sayuran","2020-01-07","11:46","Kesra"
"PT KBN Distribusikan Bantuan Sembako untuk Warga Terdampak Banjir ","2020-01-07","11:09","BUMD"
"Sarang Tawon Berdiameter 50 Sentimeter Dievakuasi Petugas","2020-01-07","09:12","Jakarta Hari Ini"
"Dinkes Layani 12.640 Warga Terdampak Banjir","2020-01-07","09:01","Kesehatan"
"Jakarta Diprediksi Hujan Sejak Pagi Hari","2020-01-07","08:44","Jakarta Hari Ini"
"Satpol PP DKI Tutup New Monggo Mas","2020-01-06","22:02","Jakarta Hari Ini"
"5.000 Pengurus RT, RW dan Kader Jumantik Ikut Wisata Gratis ke Ancol ","2020-01-06","20:22","BUMD"
"Tiang Reklame Rawan Roboh di Penjaringan Ditertibkan","2020-01-06","20:10","Jakarta Hari Ini"
"Petugas Semprot Cairan Disinfektan di Kramat Jati ","2020-01-06","19:48","Kesehatan"
"394 Ton Sampah Diangkut dari Kecamatan Kramat Jati","2020-01-06","19:27","Jakarta Hari Ini"
"Warga Terdampak Banjir di Cengkareng Terima Puluhan Dokumen Adminduk","2020-01-06","18:33","Banjir"
"Jumlah Pengungsi Banjir di Jakbar Menurun","2020-01-06","18:04","Banjir"
"Bupati Kepulauan Seribu Terima Audiensi HIPO DKI ","2020-01-06","17:44","Ekonomi"
"UPK Badan Air Jakbar Bersihkan Sampah di Kali KBB","2020-01-06","17:04","Lintas Kota"
"Posko Kesehatan di Pejagalan Sudah Layani 2.700 Warga ","2020-01-06","16:20","Banjir"
"Peluncuran Aplikasi E-Order Disambut Positif Para UMKM","2020-01-06","16:17","Ekonomi"
"Satgas SDA Jagakarsa Tangani Tebing Longsor Jl H Shibi","2020-01-06","15:51","Jakarta Hari Ini"
"27 Ton Sampah Diangkut dari Kelurahan Kalianyar","2020-01-06","15:47","Lintas Kota"
"Dinas KPKP Pastikan Stok Pangan di Jakarta Aman","2020-01-06","15:04","Ekonomi"
"378 Ton Sampah Pasca Banjir di Jakut Berhasil Diangkut ","2020-01-06","14:46","Banjir"
"Pemkot Jakut Atasi Genangan di Kelurahan Pejagalan ","2020-01-06","14:22","Banjir"
"Dinas Gulkarmat Bantu Tangani Bangunan Roboh di Jakbar","2020-01-06","14:11","Jakarta Hari Ini"
"Mohamad Taufik Serahkan 10 Persen Penghasilan Dewan Bantu Korban Banjir","2020-01-06","14:00","Legislatif"
"Kegiatan Belajar Mengajar di SMPN 31 Kembali Normal","2020-01-06","13:45","Banjir"
"800 Petugas Gabungan Bersihkan Sampah di Kramat Jati","2020-01-06","13:31","Jakarta Hari Ini"
"PPKD Jaktim Salurkan Bantuan Bagi Warga Terdampak Banjir di Kelurahan Makasar","2020-01-06","13:21","Lintas Kota"
"Lurah-Camat Diimbau Siagakan Petugas PPSU di Wilayah Rawan Genangan","2020-01-06","13:05","Jakarta Hari Ini"
"Sarpras di Kelurahan Pulau Kelapa Dipercantik","2020-01-06","12:56","Lintas Kota"
"Dinas Bina Marga Kerahkan 819 Personel untuk Rehabilitasi Pascabanjir","2020-01-06","12:44","Lintas Kota"
"Dharma Wanita Persatuan DKI Kunjungi Warga Terdampak Banjir di Pejagalan","2020-01-06","12:32","Kesra"
"PD PAL Jaya Salurkan 600 Galon Air Mineral di Duri Kosambi ","2020-01-06","12:12","BUMD"
"Pemprov DKI Luncurkan E-Order di Balai Kota","2020-01-06","11:40","Ekonomi"
"Pintu Air Pasar Ikan Berstatus Siaga 3","2020-01-06","11:29","Banjir"
"Layanan Seluruh Rute Transjakarta Sudah Kembali Normal ","2020-01-06","10:46","BUMD"
"70 Petugas Gabungan Bersihkan Sampah di Kayu Putih","2020-01-06","10:18","Jakarta Hari Ini"
"BMKG Prediksi Jakarta Diguyur Hujan Mulai Pagi Hari","2020-01-06","08:41","Jakarta Hari Ini"
"Sudin LH Jakbar Kerahkan 360 Petugas Dalam Kerja Bakti ","2020-01-05","22:48","Jakarta Hari Ini"
"Ratusan Relawan Gojek Distribusikan Ribuan Paket Bantuan Bagi Korban Banjir","2020-01-05","22:17","Lintas Kota"
" Warga Apresiasi Penanganan Genangan di Pejagalan ","2020-01-05","20:50","Banjir"
"Ketua Komisi A Bantu Korban Banjir di Jakarta Timur","2020-01-05","18:55","Legislatif"
"Dinas KPKP Buka Klinik Hewan Keliling Gratis ","2020-01-05","18:28","Lintas Kota"
"Dinas Pendidikan Pastikan Genangan di 211 Sekolah Sudah Kering","2020-01-05","17:40","Pendidikan"
"BPRD Salurkan Bantuan Bagi Korban Banjir di Bintaro ","2020-01-05","17:19","Jakarta Hari Ini"
"Ketua DPD RI Salurkan Bantuan Kepada Warga Terdampak Banjir  ","2020-01-05","17:18","Jakarta Hari Ini"
"Rehabilitasi Pasca Banjir di Jaktim Dilakukan Hingga Tuntas","2020-01-05","16:45","Lintas Kota"
"Kodim 0505 Kerahkan 500 Personel Ikuti Kerja Bakti di Jakarta Timur","2020-01-05","16:38","Jakarta Hari Ini"
"Mahasiswa Ikut Bantu Kerja Bakti di Rawa Jati","2020-01-05","16:34","Jakarta Hari Ini"
"Dinas LH Kerahkan 12.800 Personel Ikuti Kerja Bakti ","2020-01-05","16:21","Jakarta Hari Ini"
" Petugas Gabungan Bersihkan Jl Yos Sudarso dan Boulevard Kelapa Gading ","2020-01-05","16:07","Banjir"
"Sumringahnya Pasangan Nikah di Lokasi Terdampak Banjir Dikunjungi Anies","2020-01-05","15:49","Jakarta Hari Ini"
"Ormas dan Komunitas Ikuti Kerja Bakti Rehabilitasi Pasca Banjir di Kramat Jati","2020-01-05","14:57","Jakarta Hari Ini"
"Pasca Banjir, Pemprov DKI Gelar Kerja Bakti Bersama Warga","2020-01-05","14:25","Jakarta Hari Ini"
"Pemkot Jakut Maksimalkan Penanganan Genangan di Pejagalan ","2020-01-05","14:14","Banjir"
"250 Personel Ikut Kerja Bakti di Wilayah Petogogan ","2020-01-05","13:48","Jakarta Hari Ini"
"810 Petugas Gabungan dan Warga Kerja Bakti di Kedoya Utara","2020-01-05","13:30","Jakarta Hari Ini"
"Wilayah Terdampak Banjir di Petamburan Disemprot Disinfektan","2020-01-05","13:22","Jakarta Hari Ini"
"Wali Kota Jaksel Pimpin Personel Bersihkan Lumpur di Rumah Warga ","2020-01-05","12:38","Jakarta Hari Ini"
"1.900 Orang Ikuti Kerja Bakti Pasca Banjir di Duren Sawit","2020-01-05","12:03","Jakarta Hari Ini"
"Warga Apresiasi Anies Turun Langsung Bantu Bersihkan Lingkungan Pasca Banjir","2020-01-05","11:49","Fokus"
"Supporter Persitara Ikut Kerja Bakti Lingkungan ","2020-01-05","11:36","Banjir"
"Kerja Bakti di Petamburan, Personel Gabungan dan Warga Bahu-membahu Bersihkan Lumpur","2020-01-05","11:03","Jakarta Hari Ini"
"Penyemprotan Disinfektan di Pegangsaan Dua Kerahkan 500 Petugas Gabungan","2020-01-05","10:22","Banjir"
"Transjakarta Koridor 3 Masih Setop Operasi ","2020-01-05","10:01","BUMD"
"Ratusan Personel Gabungan Kerja Bakti di Kampung Melayu","2020-01-05","09:48","Jakarta Hari Ini"
"Kerja Bakti Pasca Banjir di Rawa Jati","2020-01-05","08:54","Jakarta Hari Ini"
"11 Pintu Air di Jakarta dan Sekitarnya Masih Normal","2020-01-05","08:40","Jakarta Hari Ini"
"BMKG Prediksi Hari Ini Jakarta Diguyur Hujan","2020-01-05","08:00","Jakarta Hari Ini"
"Sudin SDA Jakbar Kerahkan Lima Pompa Mobile Atasi Genangan   ","2020-01-04","22:09","Banjir"
"Bekas Lokasi Banjir di Cipinang Melayu Diberi Cairan Disinfektan","2020-01-04","20:00","Kesehatan"
"Status 12 Pintu Air di Jakarta dan Sekitarnya Siaga 4","2020-01-04","19:42","Jakarta Hari Ini"
"Pemprov DKI Pastikan Kegiatan Belajar-Mengajar Berjalan Lancar Bagi Sekolah Terdampak Banjir","2020-01-04","19:29","Jakarta Hari Ini"
"Beton MCB di Jl Daan Mogot Dirapikan","2020-01-04","18:55","Lintas Kota"
"Sudin SDA Jakbar Tambah Tiga Pompa Mobile di Semanan","2020-01-04","18:03","Banjir"
"Pemkot Jaksel Bersihkan Permukiman Warga Terdampak Banjir di Pengadegan","2020-01-04","17:33","Banjir"
"PMI Jakpus Lisolisasi Permukiman Terdampak Banjir di Kwitang","2020-01-04","17:29","Banjir"
"Wakil Wali Kota Jakpus Pimpin Kerja Bakti di Kwitang","2020-01-04","16:10","Banjir"
"300 Ton Sampah Diangkut dari Cipinang Melayu","2020-01-04","16:05","Jakarta Hari Ini"
"Petugas Gabungan Bersihkan Sampah Sisa Banjir di Kemang Timur","2020-01-04","15:48","Banjir"
"Senangnya Warga Terdampak Banjir Bisa Urus Kembali Dokumen Kependudukan","2020-01-04","15:41","Kesra"
"32 Truk Dikerahkan Angkut Sampah Sisa Banjir di Jakbar","2020-01-04","14:40","Lintas Kota"
"Sudin Dukcapil Jaksel Urus Dokumen Adminduk Warga Terdampak Banjir","2020-01-04","13:54","Kesra"
"Kepulauan Seribu Siagakan Empat Kapal Ambulans","2020-01-04","13:29","Kesehatan"
"Petugas Tangani Tanggul Jebol di Jl Perumahan Kemang Jaya","2020-01-04","13:08","Banjir"
"Pintu Air di Jakarta dan Sekitarnya Siaga 4","2020-01-04","12:57","Jakarta Hari Ini"
"10 Unit Mobil Pemadam Dikerahkan Atasi Lumpur di Cipinang Melayu","2020-01-04","12:53","Jakarta Hari Ini"
"Sudin Dukcapil Jakbar Jemput Bola Layani Warga Terdampak Banjir","2020-01-04","12:24","Kesra"
"Baznas Bazis DKI Salurkan Bantuan di Rumah Singgah LBKM Kepulauan Seribu","2020-01-04","11:27","Kesra"
"800 Petugas Gabungan Bersihkan Lumpur di Cipinang Melayu ","2020-01-04","10:52","Jakarta Hari Ini"
"Dinkes Siagakan Posko Kesehatan 24 Jam di Kecamatan Jatinegara","2020-01-04","09:05","Kesehatan"
"Sejumlah Pintu Air Berstatus Siaga 4","2020-01-04","09:02","Banjir"
" Jakarta Diprediksi Hujan Sejak Pagi Hari","2020-01-04","08:45","Jakarta Hari Ini"
"Bank DKI dan Ancol Sosialisasikan Penggunaan Mobile Point of Sale ","2020-01-03","22:07","BUMD"
"JMN Apresiasi Anies Terjun Langsung Cek Penanganan Banjir","2020-01-03","22:04","Lintas Kota"
"Sudinsos Jaksel Berikan Pelayanan Psikososial Bagi Warga Terdampak Banjir","2020-01-03","21:17","Kesra"
"Warga Terdampak Banjir di Jaksel Diimbau Waspadai Jentik Nyamuk","2020-01-03","20:46","Banjir"
"Kelurahan Pondok Bambu Salurkan Bantuan untuk Warga Terdampak Banjir","2020-01-03","20:44","Kesra"
"Persagi DKI Salurkan Bantuan ke Warga Terdampak Banjir di Cipinang Melayu","2020-01-03","20:36","Kesra"
"Warga Terdampak Banjir Apresiasi Penanganan Cepat Pemprov DKI","2020-01-03","20:21","Lintas Kota"
"Sudinhub Jaksel Bantu Penderekan 13 Mobil Mogok di Kompleks IKPN","2020-01-03","20:11","Transportasi"
"Baznas Bazis DKI Lakukan Pendampingan Psikososial di Lokasi Pengungsian","2020-01-03","20:07","Jakarta Hari Ini"
"Panti Sosial Dinsos DKI Salurkan Bantuan Makanan Siap Saji","2020-01-03","19:41","Kesra"
"Jalan Dr Sutomo Sudah Bersih dari Lumpur dan Sampah Banjir","2020-01-03","19:23","Jakarta Hari Ini"
"Dinas KUKMP Salurkan Bantuan Bagi Korban Banjir di Kayu Putih","2020-01-03","19:11","Kesra"
"Warga Terdampak Banjir Urus Dokumen Adminduk","2020-01-03","18:41","Kesra"
"Anggota Komisi A Bantu Korban Banjir di Jaksel","2020-01-03","18:36","Legislatif"
"Dinas Nakertrans Salurkan Bantuan untuk Korban Banjir","2020-01-03","17:07","Jakarta Hari Ini"
"BPBD Buka Posko Penerimaan Bantuan Banjir di Balai Kota","2020-01-03","17:05","Banjir"
"Pemprov DKI Pastikan Kebutuhan Dasar Warga Terdampak Banjir Terpenuhi","2020-01-03","16:56","Fokus"
"Kelurahan Pulau Panggang Panen Sayuran","2020-01-03","16:35","Kesra"
"Petugas PPSU Bersihkan Sampah Sisa Banjir di Pondok Pinang","2020-01-03","16:17","Banjir"
"Petugas Gabungan Bersihkan Lumpur Sisa Banjir di RW 04 Pondok Bambu","2020-01-03","16:00","Jakarta Hari Ini"
"Baznas Bazis Kepulauan Seribu Salurkan Bantuan Makanan Siap Saji","2020-01-03","15:58","Kesra"
"Penanganan Pasca Genangan Dilakukan di Jl Bungur Besar Raya","2020-01-03","15:33","Jakarta Hari Ini"
"BPBD: Jumlah Pengungsi Terdampak Banjir Menurun","2020-01-03","15:21","Banjir"
"Rekapitulasi Laporan Genangan dan Banjir, Seluruh Jalan di Jaksel dan Jaktim Telah Dapat Dilalui Kendaraan","2020-01-03","15:00","Jakarta Hari Ini"
"388 Personel Gabungan Bersihkan Sisa Banjir di Tanah Abang","2020-01-03","14:51","Banjir"
"UPPRD Cilincing Himpun Bantuan untuk Korban Terdampak Genangan","2020-01-03","14:33","Banjir"
"PPKD Jaktim Sumbang Pakaian Baru untuk Korban Banjir ","2020-01-03","14:31","Kesra"
"137 Petugas Bersihkan Sampah Sisa Banjir di Grogol Petamburan ","2020-01-03","14:25","Jakarta Hari Ini"
"70 Petugas Gabungan Bersihkan Jl Yos Sudarso Kelapa Gading","2020-01-03","13:35","Banjir"
"Jl Jatinegara Barat Kembali Dibuka","2020-01-03","13:32","Jakarta Hari Ini"
"  Kolaborasi Bersama 21 Lembaga, Pemprov DKI Sepakati Perjanjian Kerja Sama Penanggulangan Bencana di Jakarta","2020-01-03","13:17","Fokus"
"Ancol Salurkan Bantuan untuk Warga Terdampak Banjir di Penjaringan","2020-01-03","11:48","BUMD"
"Jumling di Pulau Kelapa Pastikan Kebersihan Lingkungan Terjaga","2020-01-03","11:44","Lintas Kota"
"Lumpur Sisa Banjir di Jl Raya Kayu Putih Dibersihkan","2020-01-03","11:34","Jakarta Hari Ini"
"Instalasi SWRO Pulau Harapan Diuji Coba","2020-01-03","11:25","Lintas Kota"
"30 Petugas Satpol PP Kepulauan Seribu Disiagakan di Posko Bencana","2020-01-03","11:18","Fokus"
"Kecamatan Kelapa Gading Masih Buka Posko Dapur Umum  ","2020-01-03","11:00","Banjir"
"10 Pintu Air di Jakarta dan Sekitarnya Berstatus Siaga 4","2020-01-03","10:31","Banjir"
"Transjakarta Koridor 3, 8 dan 9 Belum Beroperasi Normal ","2020-01-03","10:06","BUMD"
"Kebijakan Ganjil Genap Kembali Diterapkan Hari Ini","2020-01-03","08:20","Transportasi"
"Makanan Siap Saji Dibagikan Pada Pengungsi di Cipinang Melayu","2020-01-02","20:36","Jakarta Hari Ini"
"Walkot Jaksel dan Kapolda Tinjau Penanganan Banjir di Bintaro ","2020-01-02","20:31","Banjir"
"Lumpur di Jalan Dr Sutomo Dibersihkan","2020-01-02","19:41","Jakarta Hari Ini"
"Kadin Jakpus Beri Bantuan Bagi Korban Banjir","2020-01-02","19:30","Lintas Kota"
"Satpol PP dan Warga Kerja Bakti Bersihkan Lumpur Sisa Banjir","2020-01-02","19:01","Jakarta Hari Ini"
"BPRD DKI Santuni Ribuan Anak Yatim dan Dhuafa","2020-01-02","18:50","Kesra"
"Surut, Sejumlah Pintu Air Berstatus Siaga 4","2020-01-02","18:46","Banjir"
"Personel Dinas SDA Sedot Genangan di Jl Kemang Raya","2020-01-02","18:33","Banjir"
"Posko Kesehatan di RW 02 Kwitang Layani 76 Warga","2020-01-02","18:04","Kesehatan"
"Dua Alat Berat Tangani Longsor di Bambu Apus","2020-01-02","17:45","Jakarta Hari Ini"
"Dinas Dukcapil Buka Layanan Dokumen Kependudukan Warga Terdampak Banjir","2020-01-02","17:42","Kesra"
"Petugas Gabungan Bersihkan Jl Kapten Tendean","2020-01-02","17:26","Lintas Kota"
"Luapan Banjir di Rusun Pesakih Diolah Jadi Air Bersih ","2020-01-02","17:24","BUMD"
"Ketua DPRD Serahkan Bantuan untuk Korban Banjir","2020-01-02","17:02","Legislatif"
"Lokasi Pengungsian di Kampus Universitas Borobudur Tampung 265 KK","2020-01-02","16:37","Banjir"
"19 Ruas Jalan di Ibukota dan Sekitarnya Masih Tergenang","2020-01-02","16:29","Banjir"
"GOR Cendrawasih Tampung 600 Warga Korban Banjir   ","2020-01-02","16:21","Jakarta Hari Ini"
"Beberapa Rute Transjakarta Sudah Kembali Normal ","2020-01-02","16:18","BUMD"
"Jl Jatinegara Barat Masih Dialihkan","2020-01-02","16:08","Jakarta Hari Ini"
"Beton MCB di Jl Perintis Kemerdekaan Dirapikan ","2020-01-02","16:04","Jakarta Hari Ini"
"Tinjau Lokasi Terdampak Banjir, Anies Ajak Warga Gotong Royong Atasi Banjir","2020-01-02","15:54","Banjir"
"Lima Unit Pompa Dikerahkan Atasi Genangan di Teluk Gong","2020-01-02","15:24","Banjir"
"Mensos Cek Dapur Umum Sudin Sosial Jaktim di Cawang","2020-01-02","14:56","Jakarta Hari Ini"
"Sudinsos Jaksel Distribusikan 6.000 Makanan Siap Saji","2020-01-02","14:31","Kesra"
"Rekapitulasi Faskes hingga Jalur Transportasi Umum Terdampak Genangan dan Banjir","2020-01-02","14:08","Banjir"
"Pintu Air Angke Hulu Siaga 1","2020-01-02","14:00","Banjir"
"Forum Komunikasi BUMD DKI Salurkan Bantuan untuk Warga Korban Banjir ","2020-01-02","13:50","BUMD"
"31.319 Wisatawan Kunjungi Kepulauan Seribu Saat Libur Nataru","2020-01-02","13:45","Wisata & Kuliner"
"Pohon Tumbang di SMPN 241 Pulau Tidung Dievakuasi","2020-01-02","13:38","Jakarta Hari Ini"
"Dinas LH Bersihkan 2.943 Meter Kubik Sampah Banjir ","2020-01-02","13:33","Lintas Kota"
"Dinas LH Kerahkan 25 Toilet Portabel","2020-01-02","13:14","Jakarta Hari Ini"
"Anies Tinjau Penanganan Banjir di Jl Lebak Bulus Dalam","2020-01-02","12:44","Jakarta Hari Ini"
"Lima Lokasi Terdampak Banjir Dapat Bantuan Air Bersih  ","2020-01-02","12:06","BUMD"
"Bus Transjakarta Jurusan BSD - Juanda Setop Operasi Sementara ","2020-01-02","11:50","BUMD"
"Dua Unit Mobil Pompa Damkar Dikerahkan Atasi Genangan di Cilincing","2020-01-02","11:37","Banjir"
"Petugas PPSU Bersihkan Jl DI Panjaitan ","2020-01-02","11:33","Jakarta Hari Ini"
"PAM Jaya Distribusikan Air Bersih Bagi Warga Terdampak Banjir di Pinang Ranti","2020-01-02","11:21","Jakarta Hari Ini"
"Sudinhub Jaksel Siagakan Personel di Ruas Jalan Tergenang","2020-01-02","11:04","Transportasi"
"Genangan di Sejumlah Jalan di Jakut Mulai Surut ","2020-01-02","10:14","Banjir"
"8 Mobil Damkar Bersihkan Lumpur di Terowongan Cawang","2020-01-02","09:10","Jakarta Hari Ini"
"Ini Rute Transjakarta yang Dialihkan dan Setop Operasi Sementara ","2020-01-02","08:57","BUMD"
"Hari Ini, Kebijakan Ganjil Genap Ditiadakan","2020-01-02","08:54","Transportasi"
"TMA Pintu Air Manggarai Turun Menjadi Siaga 2","2020-01-02","05:38","Banjir"
"Pintu Air Manggarai Siaga 1","2020-01-02","00:24","Jakarta Hari Ini"
"30 Korban Banjir Dievakuasi ke Tenda Pengungsian Cawang","2020-01-02","00:21","Jakarta Hari Ini"
"Pintu Air Manggarai Mendekati Siaga 1","2020-01-01","23:55","Jakarta Hari Ini"
"Sudin Sosial Jakarta Utara Distribusikan 1.500 Paket Makanan Siap Saji","2020-01-01","23:30","Banjir"
"150 Personel Satpol PP Dikerahkan ke Lokasi Banjir di Kampung Melayu","2020-01-01","22:57","Jakarta Hari Ini"
"Anies Apresiasi Kinerja Seluruh Jajaran Pemprov DKI Terkait Banjir","2020-01-01","22:55","Fokus"
"Pasokan Air PAM di Jakarta Timur Terganggu Sementara","2020-01-01","22:39","BUMD"
"Posko Pengungsian di Tegal Parang Tersebar di 13 Titik","2020-01-01","22:29","Banjir"
"Pemprov DKI Siapkan Posko Bantuan Logistik","2020-01-01","22:24","Jakarta Hari Ini"
"Sudin Sosial Jaktim Siapkan 2.000 Boks Makanan Siap Saji ","2020-01-01","22:19","Banjir"
"Puskesmas Rawajati II Tampung Warga Terdampak Banjir","2020-01-01","21:43","Banjir"
"Pemprov Terus Salurkan Bantuan Bahan Pokok ke Posko Pengungsian","2020-01-01","21:36","Banjir"
